time,Inner,Outer_Short,Outer_Long,relative_inner,relative_outer_short,relative_outer_long,inner_growth_rate,outer_short_growth_rate,outer_long_growth_rate
0,236.251,572.968,357.046,1,1,1,,,
0.5,258.821,584.961,363.175,1.09553398715773,1.0209313609137,1.01716585537998,45.1400000000001,23.9860000000001,12.258
1,269.163,601.275,359.283,1.13930946324037,1.04940415520588,1.00626529914913,20.684,32.6279999999999,-7.78399999999999
1.5,288.27,607.946,358.229,1.22018531138493,1.06104703927619,1.00331329856657,38.2139999999999,13.3420000000001,-2.10800000000006
2,322.006,611.143,357.994,1.36298259054988,1.06662675751525,1.00265512006856,67.472,6.39400000000001,-0.469999999999914
2.5,347.143,614.665,361.162,1.46938214018142,1.07277369765851,1.01152792637363,50.274,7.04399999999987,6.3359999999999
3,391.133,604.925,358.522,1.65558241023318,1.05577449351447,1.00413392111941,87.98,-19.48,-5.27999999999997
3.5,422.388,608.609,356.176,1.78787814654753,1.06220417196074,0.997563339177585,62.51,7.36800000000017,-4.69200000000001
4,453.112,595.825,356.555,1.91792627332794,1.03989228019715,0.998624827053097,61.4480000000001,-25.568,0.758000000000038
4.5,464.095,609.656,,1.9644149654393,1.06403149914131,,21.966,27.6619999999998,
5,466.529,605.993,,1.97471756733305,1.05763847195655,,4.86799999999994,-7.32599999999979,
5.5,471.519,609.866,,1.99583917105113,1.06439801175633,,9.98000000000002,7.74599999999987,
6,482.899,607.737,,2.04400827933003,1.06068227195934,,22.76,-4.25800000000004,
6.5,488.186,614.929,,2.06638702058404,1.07323445637453,,10.574,14.384,
7,498.008,616.734,,2.10796144778223,1.07638471956549,,19.644,3.61000000000013,
7.5,509.768,607.72,,2.15773901486131,1.06065260189051,,23.52,-18.028,
8,507.808,604.76,,2.14944275368147,1.05548651931696,,-3.91999999999996,-5.92000000000007,
